cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;3345;1.147626638;0.464939934;4;10;2;1995;21;2;2;2;9;0;0;42;5223;1;77
CH;8;3346;0.78312695;0.464939934;3;8;1;1959;57;2;3;3;13;1;0;50;7410;1;77
CH;8;3350;0.899520457;0.464939934;3;9;1;1990;26;2;4;5;9;1;1;40;7126;2;7
CH;8;3352;1.186012149;0.464939934;3;8;1;1972;44;2;5;7;18;1;0;45;3211;1;3
CH;8;3353;1.022381425;0.464939934;3;8;1;1995;21;2;3;3;1;1;0;41;2422;2;2
CH;8;3355;1.186012149;0.464939934;3;8;1;1972;44;2;3;3;9;1;0;50;3322;2;7
CH;8;3360;1.186012149;0.464939934;2;8;1;1965;51;1;2;2;12;1;0;43;7222;2;4
CH;8;3364;1.147626638;0.464939934;3;7;2;1991;25;2;2;2;12;1;0;44;5222;2;77
CH;8;3368;1.022381425;0.464939934;4;7;1;1982;34;2;3;3;9;1;0;0;7522;2;3
CH;8;3369;1.033508062;0.464939934;4;9;1;1997;19;2;2;2;9;0;0;40;4321;1;5
CH;8;3370;0.890090764;0.464939934;3;7;1;1961;55;1;4;5;8;0;0;55;3322;1;77
CH;8;3371;1.147626638;0.464939934;4;8;2;1989;27;2;3;3;9;1;0;42;3111;1;3
CH;8;3373;0.899520457;0.464939934;3;7;1;1989;28;2;5;7;20;1;0;42;2161;2;3
CH;8;3374;1.17324388;0.464939934;2;9;1;1973;43;1;3;3;13;1;0;42;2512;2;2
CH;8;3381;1.003414631;0.464939934;3;8;2;1965;51;2;3;3;15;1;0;42;3221;2;3
CH;8;3385;0.899520457;0.464939934;4;9;1;1988;28;1;2;2;6;0;0;40;3412;2;77
CH;8;3386;0.899520457;0.464939934;3;8;1;1992;24;2;3;3;9;1;0;43;7511;2;4
CH;8;3387;1.032253623;0.464939934;3;9;1;1978;38;1;2;2;7;1;0;41;7112;2;4
CH;8;3388;1.152878165;0.464939934;3;6;2;1979;37;1;2;2;11;0;0;666;66666;2;1
CH;8;3390;1.147626638;0.464939934;3;8;2;1993;23;2;5;7;15;1;0;15;2341;2;3
CH;8;3400;1.147626638;0.464939934;1;7;2;1991;25;2;5;6;17;1;0;40;2355;2;1
CH;8;3401;0.972100914;0.464939934;3;7;2;1993;23;1;3;3;9;1;0;26;5320;2;4
CH;8;3402;0.899520457;0.464939934;3;7;1;1991;25;2;3;3;10;1;0;44;4321;2;5
CH;8;3404;1.302075982;0.464939934;1;8;1;1966;50;2;5;7;18;1;0;60;1340;2;2
CH;8;3405;1.160116434;0.464939934;3;8;2;1985;31;2;5;7;20;1;0;33;3412;2;7
CH;8;3406;0.872584283;0.464939934;2;8;1;1982;34;2;3;3;10;1;0;50;7543;2;8
CH;8;3407;1.022381425;0.464939934;3;9;1;1992;24;2;3;3;10;1;0;34;3118;2;88
CH;8;3410;1.022381425;0.464939934;2;8;1;1991;25;2;5;5;11;1;0;55;310;2;4
CH;8;3418;1.032253623;0.464939934;1;10;1;1965;52;2;5;7;19;1;0;45;2619;2;4
CH;8;3419;1.033508062;0.464939934;2;7;1;1988;28;2;5;7;21;1;0;45;2511;2;6
CH;8;3420;1.033508062;0.464939934;1;9;1;1991;25;2;3;3;12;1;0;45;3310;2;5
CH;8;3422;0.993800044;0.464939934;2;7;1;1980;36;1;5;6;14;1;0;60;1000;1;9
CH;8;3424;1.003414631;0.464939934;2;10;2;1969;47;2;3;3;12;1;0;25;3221;2;88
CH;8;3429;0.899520457;0.464939934;3;9;1;1992;24;2;3;3;9;1;0;45;6210;2;3
CH;8;3430;1.009714603;0.464939934;2;7;2;1993;23;2;5;5;10;1;1;42;3221;2;2
CH;8;3432;1.186012149;0.464939934;4;6;1;1965;51;1;2;2;9;1;0;40;5153;1;7
CH;8;3433;1.090924263;0.464939934;2;7;2;1956;60;2;5;5;18;0;0;60;1345;1;88
CH;8;3435;1.090924263;0.464939934;4;8;2;1961;55;2;3;3;9;1;0;24;5141;2;77
CH;8;3439;1.140466452;0.464939934;3;8;2;1981;35;1;5;5;9;1;0;0;3334;2;4
CH;8;3441;0.866011918;0.464939934;2;9;1;1993;23;2;3;3;10;1;0;31;7412;2;4
CH;8;3443;1.001342416;0.464939934;1;8;1;1981;36;2;5;7;11;1;0;44;2144;2;4
CH;8;3444;1.003414631;0.464939934;4;7;2;1969;47;1;3;3;9;1;0;43;5120;2;3
CH;8;3445;1.033508062;0.464939934;4;8;1;1983;33;2;5;7;16;1;0;55;3311;1;8
CH;8;3446;0.872584283;0.464939934;3;4;1;1983;33;2;3;3;12;1;0;45;5223;2;3
CH;8;3454;0.866011918;0.464939934;1;8;1;1995;21;2;3;3;9;1;0;42;8311;2;1
CH;8;3456;0.866011918;0.464939934;3;8;1;1982;34;2;5;6;9;1;0;50;3334;2;8
CH;8;3457;0.972100914;0.464939934;4;10;2;1989;27;2;3;4;13;1;0;37;2264;2;77
CH;8;3460;0.899520457;0.464939934;2;7;1;1991;25;2;5;7;19;1;0;44;3221;1;3
